Date,Open,High,Low,Close,Adj Close,Volume
2002-01-30,15.597512,15.975633,15.597512,15.786573,6.225388,3406735
2002-01-31,15.786573,15.786573,15.786573,15.786573,6.225388,0
2002-02-01,15.786573,15.881103,15.219390,15.219390,6.001719,3030348
2002-02-04,15.219390,15.408451,15.124860,15.313921,6.038998,729606
2002-02-05,15.219390,15.597512,15.124860,15.502981,6.113553,1849775
2002-02-06,15.502981,15.786573,15.408451,15.692042,6.188110,2567322
2002-02-07,15.786573,15.786573,15.502981,15.502981,6.113553,2335228
2002-02-08,15.597512,15.692042,15.502981,15.502981,6.113553,2135927
2002-02-11,15.786573,15.975633,15.786573,15.975633,6.299943,2975868
2002-02-12,16.164694,16.259224,15.692042,15.692042,6.188110,4747997
2002-02-13,15.786573,17.015469,15.786573,17.015469,6.710000,18346377
2002-02-14,17.582649,18.244362,17.299059,18.244362,7.194609,23602994
2002-02-15,18.149832,18.527954,17.677179,18.055302,7.120052,12332331
2002-02-18,18.055302,19.662317,18.055302,19.189667,7.567387,15654015
2002-02-19,19.284197,19.284197,18.433422,18.433422,7.269163,10165621
2002-02-20,18.338894,18.717014,18.055302,18.622484,7.343720,6846476
2002-02-21,18.811544,18.811544,17.299059,17.299059,6.821831,6752432
2002-02-22,17.393589,17.582649,16.259224,16.448284,6.486331,10192173
2002-02-25,16.542816,17.015469,16.259224,17.015469,6.710000,2251233
2002-02-26,17.015469,17.015469,17.015469,17.015469,6.710000,0
2002-02-27,17.109999,18.906075,17.015469,18.906075,7.455554,9310657
2002-02-28,19.189667,19.284197,18.433422,18.811544,7.418276,6029278
2002-03-01,18.906075,19.756847,18.906075,19.095137,7.530110,17795655
2002-03-04,19.567787,20.229500,19.567787,19.662317,7.753776,10953621
2002-03-05,19.945910,19.945910,18.622484,18.622484,7.343720,8622519
2002-03-06,18.906075,19.473257,18.811544,19.189667,7.567387,4818556
2002-03-07,19.378727,19.567787,18.527954,18.906075,7.455554,6035731
2002-03-08,19.095137,19.378727,18.906075,18.906075,7.455554,5790836
2002-03-11,19.000605,19.284197,18.622484,18.906075,7.455554,6307601
2002-03-12,19.189667,19.284197,18.527954,18.622484,7.343720,4572392
2002-03-13,18.622484,18.622484,17.866241,18.055302,7.120052,4012360
2002-03-14,18.055302,18.338894,17.866241,18.244362,7.194609,3347389
2002-03-15,18.338894,18.338894,17.771711,17.866241,7.045499,2898010
2002-03-18,17.960772,18.149832,17.582649,17.582649,6.933665,1603611
2002-03-19,17.866241,17.866241,17.015469,17.393589,6.859110,1779533
